,城市,公司名称,学历要求,工作经验,招聘岗位,薪资待遇,职位描述,薪资下限,薪资上限
0,上海市,神州通誉软件上海股份有限公司,本科,10年以上,大数据开发组长,24000-27000元/月,"任职要求：	
1、计算机相关专业全日制本科及以上学历，8年及以上数据类(数仓、BI可视化、移动类数据展现等)开发经验，技术问题解决等能力包含:数仓调优SQL Server、数据可视化(PowerBI、Echart、dashboard)、 H5 移动端数据展示及高并发的实时数据处理经验作为加分，有ssis经验。
2、要求有一定研发/架构经验，理解Scrum理念，灵活运用 Scrum、看板两种方法	 
3、良好的逻辑思维、业务解读能力，有独立分析解决问题的能力，责任心强，掌握协作，解决冲突，小组沟通的技巧;
4、具备优秀的项目管理、资源管理能力及领导力，具有PMP/ACP证书或相关项目管理证书及大型敏捷项目实践经验;
5、出色的时间管理，尤其是根据业务目标有效指定任务优先级及执行任务的能力
6、有金融公司实施项目经验者优先考虑
岗位职责:
1、领导和管理项目团队，负责项目的整体需求分析、设计指定及开发;
2、负责项目的分析、设计、开发、测试、交付，确保项目成功:
3、与客户相关沟通
4、负责项目技术方案设计，协调处理项目相关大的技术难点问题，一定的开发工作。
5、进行项目计划、工作统筹、任务分配、指定项目计划，量化任务，并合理分配给相关人员及任务的监控，并对其工作定期检查、评估。",24000,27000
1,上海市,上海人工智能网络系统工程技术研究中心有限公司,本科,5-10年,大数据运维工程师,20000-35000元/月,"工作职责：
1.负责 Nebula 和 Doris 集群的部署、升级、监控、维护和优化工作，确保集群的高可用性、高性能和稳定性运行；
2.快速响应和处理系统故障，对大数据平台出现的问题进行及时排查和解决，减少系统停机时间
3.对系统性能问题进行分析和优化，持续提升大数据平台的运行效率。
4.为业务部门提供技术支持，协助开发团队进行数据查询、分析和应用开发，解决数据相关的技术问题。
5.与其他团队协作，推进大数据项目的实施和优化，共同保障公司大数据平台的稳定运行和持续发展。

岗位要求：
1.本科及以上学历，计算机相关专业；
2.熟练掌握 Nebula 和 Doris 数据库的安装、配置、管理和维护，具有丰富的实际操作经验。
3.具备扎实的大数据基础知识，熟悉 Hadoop、Spark 等大数据生态系统组件。
4.熟练掌握 Linux 操作系统，具备良好的 shell 脚本编程能力
5.具备较强的问题分析和解决能力，能够快速定位和解决大数据平台出现的各种技术问题；
6.具备良好的沟通和团队协作能力；",20000,35000
2,上海市,上海墨绿科技有限公司,大专,不限,大数据专员,3000-5000元/月,专业处理数据，需要计算机专业，,3000,5000
3,上海市,河南信大网御科技有限公司,本科,3-5年,高级大数据开发工程师,16000-22000元/月,"职责描述：
1、负责运营商B/O/M域的数据分析、挖掘、建模等工作，如城市常住人口、人流量分析等；
2、支持日常的数据分析、挖掘需求，快速响应问题，提供解决方案和数据支持，在数据质量评估与团队分享和讨论数据见解；
3、了解客户需求，了解AI/机器学习解决方案可以产生的价值；
4、基于对业务的深入理解，在已有的算法模型上，可以独立完成需求，并鼓励研究新技术，应用于解决实际问题；
任职要求： 
1、计算机、统计学、数学、数理统计等相关专业985/211统招本科及以上学历，有工作经验或相关工作经历的优先；
2、至少熟练掌握一种 PYSpark, Python，熟练掌握SQL；
3、具有数据挖掘、统计建模实践经验，对至少一种常用的机器学习算法（如回归、分类、时间序列、推荐算法、NLP、OCR等）在一定规模数据上有建模实战经验的优先；
4、对数据敏感，逻辑思维能力好，较强的沟通能力，动手能力强，有电信行业相关工作经验优先；",16000,22000
4,上海市,上海数禾信息科技有限公司,本科,5-10年,大数据平台开发专家,40000-70000元/月,"岗位职责:
1、参与大数据体系技术选型、架构设计，根据业务场景提供最优的解决方案；
2、参与规划和管理大数据技术栈和工具，解决实时和离线计算流程中的问题和挑战；
3、制定和优化大数据平台服务标准，构建服务可观测能力，并不断提升平台能力；
4、对行业发展趋势有深入了解，能够解决引擎难点问题和性能瓶颈。

任职要求：
1、全日制本科及以上学历，计算机相关专业；
2、熟悉大数据及数据仓库原理，5年以上大数据平台研发经验或架构经验；
3、掌握Hadoop生态圈的主流技术及产品，精通Starrocks/Flink/Paimon/Spark大数据组件的底层原理和调优实践；
4、对实时数据湖、流批一体、数据集成、高性能跨源查询等方面有大规模数据项目实战经验；
5、精通Java，并开发过spring boot应用，熟悉Redis/MySql数据库开发优先；
6、有很强责任心、团队精神和持续研究学习的能力，能够接受工作挑战，有不错的沟通能力与团队协作精神。",40000,70000
5,上海市,上海墨绿科技有限公司,大专,不限,大数据服务工程师,3000-5000元/月,"要求相关专业有一定相关专业基础，
工作内容
1、负责大数据的相关服务，确保数据处理的高效性。
2、参与数据平台的设计，优化数据处理流程，提升系统性能。
3、与团队合作，完成数据解决方案的实施，支持业务决策。

任职要求
1、具备扎实的软件编程能力，熟悉大数据相关技术栈。
2、能够独立完成数据相关任务，具有良好的问题解决能力。
3、具有团队合作精神，能够有效沟通，协同工作。",3000,5000
6,上海市,北京哆啦保科技有限公司,本科,3-5年,大数据开发工程师,15000-20000元/月,"岗位职责：
1、负责公司相关产品与业务支撑系统的开发；
2、参与项目沟通分析业务需求，负责系统、数据建模设计；
3、负责系统重构、优化、持续迭代，并具有一定的业务、系统架构设计思维；
4、具有一定的技术文档的撰写能力；
5、解决系统运行中的各种问题，具有云服务器的运维部署经验；
6、根据需求完成模块功能设计、开发与单元测试；
任职要求：
1、 计算机或软件工程相关专业本科学历及以上，5年及以上Java开发经验，履历虚假者请勿投递；
2、有Java较全的知识面，编程基础扎实，熟悉Springboot、Springcloud、MyBatis等主流框架/库，并具有相关开发经验；
3、熟悉缓存、消息等相关技术，如redis、mq等；
4、思维灵活，热爱技术，对分布式设计、并发编程有丰富的经验；
5、熟悉Linux平台下常用命令操作、环境部署；
6、熟练掌握MySql等关系型数据库，熟练运用Sql语句进行数据库操作;
7、具有较好的沟通能力、较强的创新和学习能力、有团队合作意识和责任心。
8、具有金融行业软件开发经验者优先。",15000,20000
7,上海市,南京东新慧科信息技术有限公司,本科,1-3年,大数据开发,10000-12000元/月,"岗位职责:
1.负责大数据平台的开发和维护，包括数据采集、存储、处理和分析等环节;
2.负责数据仓库的设计和建设，保证数据的质量和稳定性;
3.负责数据挖掘和分析，为业务决策提供支持;
4.负责数据可视化和报表开发，为业务人员提供数据支持;
5.负责数据安全和隐私保护，确保数据安全可靠。
任职要求:
1.本科及以上学历，计算机及相关专业;
2. 有2年以上大数据研发经验，对分布式数据计算或者数据分析的原理、架构及使用调优有一定经验者优先；
3. 熟悉Hadoop/Flink//Spark /Hive等任一项主流开源技术，Flink优先；
4.熟练掌握至少一种下列编程语言：Java/Scala；
5.具备良好的沟通表达能力，有责任心，抗压能力强，做事有计划，有条理，逻辑性强。",10000,12000
8,上海市,上海布沁网络科技有限公司,本科,5-10年,大数据架构师,25000-50000元/月,"职位详情
1.建立大数据平台服务标准并不断提升平台能力；
2.负责大数据体系全栈技术选型、架构设计，组件调优，根据业务痛点从底层优化提升平台性能、稳定性、可靠性；
3.负责大数据平台设计和研发，应对实时和离线计算、在线数据查询应用等场景方面对工程、效率、质量方面的挑战，打造高性能、高可用、可扩展的系统，支撑多项目多场景的通用接入；
4.负责新技术专项课题研究，驱动研发团队消除技术债；
任职要求
1.全日制本科及以上学历，8年以上数据领域工作经验，有金融行业经验者加分；
2.有较为丰富的数据仓库研发经验，熟悉数据仓库、数据体系和数据价值的建设及优化；
3.熟悉数据中台构建的全过程,做过大数据平台架构建设；
4.熟悉hologress 、Hadoop或MaxCompute，有AWS,Dataphin/Dataworks数据开发经验者优先；
5.精通Hive, Kafka, Spark, Storm， Hbase，Doris， Flink等相关技术并有相关开发经验；其中Flink、Doris、Starrocks需要具备源码经验； 
6.具备快速学习能力、跨团队沟通协作能力.有较强的逻辑思维能力和解决问题",25000,50000
9,上海市,上海能良电子科技有限公司,本科,5-10年,大数据工程师,20000-30000元/月,"职位描述：
1、负责电商、生活服务、直播、抖音等业务的离线与实时数据仓库的构建;
2、负责数据模型的设计，ETL实施，ETL性 能优化，ETL数据监控以及相关技术问题的解决;
3、负责指标体系建设与维护;
4、深入业务，理解并合理抽象业务需求，发挥数据价值，与业务团队紧密合作;
5、参与大数据应用规划，为数据产品、挖掘团队提供应用指导;
6、参与数据治理工作，提升数据易用性及数据质量。

职位要求
1、熟悉数据仓库实施方法论、深入了解数据仓库体系，并支撑过实际业务场景;
2、熟练使用Hadoop及Hive，熟悉SQL、Java、Python等编程语言;
3、善于沟通，对业务敏感，能快速理解业务背景,具备优秀的技术与业务结合能力。",20000,30000
10,上海市,上海众壹云计算科技有限公司,本科,3-5年,大数据需求分析师,15000-20000元/月,"岗位职责：
1、负责进行客户交流、业务调研及需求分析，充分理解客户需求，做出相应业务和技术解决方案
2、负责产品或项目的需求分析设计，沟通了解用户对项目的业务需求，并进行分析、讨论、整理；
3、协助项目经理评估数据质量，制定项目数据质量管理规范；
4、参与项目数据开发工作，包括数据模型设计、ETL开发等；
5、有效与研发人员沟通，及后续过程的需求跟进、变更把控，以及需求相关的管理与技术支持；
6、负责需求的数据准确性验证及测试。
任职需求：
1、本科以上学历，计算机科学技术、信息管理、电子工程、数学等相关专业；3年以上软件服务行业相关工作经验；
2、思路清晰，具有良好的数据敏感度、逻辑分析能力、业务沟通能力、业务理解能力，较强的业务分析、业务建模、需求把控能力，能独立编写需求分析、设计文档；
3、有大数据项目的数据分析经验者优先；熟悉Hadoop、Hive、HBase、Spark等大数据技术优先。
4、具备较强的逻辑思维能力、亲和力及客户沟通能力，善于解决客户问题以及维护客户关系者优先
5、具备快速的学习能力、主动解决问题的意识与高度的工作纪律
6、需常驻客户现场（上海市静安区）",15000,20000
11,上海市,上海景萱服装有限公司,本科,不限,大数据分析助理,6000-8000元/月,"岗位职责：
1、根据国外客人后台的销售历史数据，分析客人销售情况，预计补单量。使客人的库存保持在合理的水平
2、根据分析出来的补单量，核对要出货的货柜，对出货明细进行调整，确保出运的货物不会超过客人要求的合理库存禁戒线
3、可能需要出差英国，和客人开会，根据系统数据分析，计划如何完善补单操作。

任职要求
1、统计学，应用统计学，大数据分析等相关专业
2、会使用数据分析相关的辅助工具
3、英语口语流利优先考虑。",6000,8000
12,上海市,上海比孚信息科技有限公司,不限,5-10年,大数据工程师,17000-25000元/月,"与结果导向的领导和IT团队内的年轻同事共同进步，协助完成整个云上数据库的开发。
熟练运用SQL，对数据库内的数据进行抽取、转换、加载、维护等工作。 
根据项目/前台部门的要求，负责数仓的设计与开发。优化、维护。 
配合参与数据仓库流程优化及解决数仓相关技术问题 
精通python语言 
熟悉Hadoop/HBase生态环境体系的搭建和管理，掌握Hadoop、HBase、MapReduce、HDFS、Hive、Zookeeper、Spark等开源项目的原理和使用方法 
熟悉Azure数据平台相关技术，如databricks，adf 等。 
The Successful Applicant
5年以上数据仓库工作经验 
熟练Azure云下，部署databricks，ADF，进行ETL数据流程设计，数据的收集、清洗、整理、提取和统计。熟悉常用ETL工具。 
良好的沟通协调能力和文字、口头表达能力",17000,25000
13,上海市,杭州乌鸫科技有限公司,本科,1-3年,大数据,15000-25000元/月,"1）本科或以上学历，计算机、数据挖掘等相关专业，工作至少1年以上； 
（2）熟悉PostgreSQL开发，有存储过程开发经营，有性能调优经验者优先； 
（3）至少熟悉一种大数据处理技术，如DataWorks； 
（4）掌握HBase、Redis、Elastic Search等开源大数据存储技术，并能结合不同的业务场景深入使用； 
（5）对解决具有挑战性的问题充满激情，具有良好的分析问题和解决问题的能力，能够医治各种系统的疑难杂症",15000,25000
14,上海市,上海成凯生物医药科技有限公司,不限,1-3年,大数据工程师,2000-3000元/月,"1 会深度学习，大模型
2 掌握Linux python R
3 在校大学生可实习
4 对生物医学数据感兴趣",2000,3000
